attempt,attacker_uid,sub_case,decision,reason,kernel_errno,latency_ms,outcome
353,1001,leaked,ALLOW,allow,0,0.007,passed
354,1001,blind,DENY,binding_mismatch,0,0.007,blocked
355,1001,blind,DENY,binding_mismatch,0,0.007,blocked
356,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
357,1001,blind,DENY,binding_mismatch,0,0.007,blocked
358,1001,leaked,ALLOW,allow,0,0.007,passed
359,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
360,1001,blind,DENY,binding_mismatch,0,0.007,blocked
361,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
362,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
363,1001,blind,DENY,binding_mismatch,0,0.007,blocked
364,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
365,1001,leaked,ALLOW,allow,0,0.007,passed
366,1001,blind,DENY,binding_mismatch,0,0.007,blocked
367,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
368,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
369,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
370,1001,blind,DENY,binding_mismatch,0,0.007,blocked
371,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
372,1001,leaked,ALLOW,allow,0,0.007,passed
373,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
374,1001,blind,DENY,binding_mismatch,0,0.007,blocked
375,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
376,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
377,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
378,1001,leaked,ALLOW,allow,0,0.007,passed
379,1001,blind,DENY,binding_mismatch,0,0.007,blocked
380,1001,blind,DENY,binding_mismatch,0,0.007,blocked
381,1001,blind,DENY,binding_mismatch,0,0.007,blocked
382,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
383,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
384,1001,leaked,ALLOW,allow,0,0.008,passed
385,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
386,1001,leaked,ALLOW,allow,0,0.007,passed
387,1001,leaked,ALLOW,allow,0,0.007,passed
388,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
389,1001,blind,DENY,binding_mismatch,0,0.007,blocked
390,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
391,1001,blind,DENY,binding_mismatch,0,0.007,blocked
392,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
393,1001,blind,DENY,binding_mismatch,0,0.007,blocked
394,1001,blind,DENY,binding_mismatch,0,0.007,blocked
395,1001,blind,DENY,binding_mismatch,0,0.007,blocked
396,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
397,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
398,1001,leaked,ALLOW,allow,0,0.007,passed
399,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
400,1001,blind,DENY,binding_mismatch,0,0.007,blocked
401,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
402,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
403,1001,blind,DENY,binding_mismatch,0,0.007,blocked
404,1001,blind,DENY,binding_mismatch,0,0.007,blocked
405,1001,blind,DENY,binding_mismatch,0,0.007,blocked
406,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
407,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
408,1001,leaked,ALLOW,allow,0,0.007,passed
409,1001,leaked,ALLOW,allow,0,0.007,passed
410,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
411,1001,leaked,ALLOW,allow,0,0.007,passed
412,1001,blind,DENY,binding_mismatch,0,0.007,blocked
413,1001,blind,DENY,binding_mismatch,0,0.007,blocked
414,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
415,1001,leaked,ALLOW,allow,0,0.014,passed
416,1001,blind,DENY,binding_mismatch,0,0.007,blocked
417,1001,leaked,ALLOW,allow,0,0.007,passed
418,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
419,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
420,1001,leaked,ALLOW,allow,0,0.007,passed
421,1001,leaked,ALLOW,allow,0,0.007,passed
422,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
423,1001,blind,DENY,binding_mismatch,0,0.007,blocked
424,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
425,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
426,1001,blind,DENY,binding_mismatch,0,0.007,blocked
427,1001,blind,DENY,binding_mismatch,0,0.007,blocked
428,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
429,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
430,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
431,1001,leaked,ALLOW,allow,0,0.007,passed
432,1001,blind,DENY,binding_mismatch,0,0.007,blocked
433,1001,blind,DENY,binding_mismatch,0,0.007,blocked
434,1001,leaked,ALLOW,allow,0,0.007,passed
435,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
436,1001,leaked,ALLOW,allow,0,0.007,passed
437,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
438,1001,blind,DENY,binding_mismatch,0,0.007,blocked
439,1001,blind,DENY,binding_mismatch,0,0.007,blocked
440,1001,leaked,ALLOW,allow,0,0.007,passed
441,1001,leaked,ALLOW,allow,0,0.010,passed
442,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
443,1001,blind,DENY,binding_mismatch,0,0.007,blocked
444,1001,blind,DENY,binding_mismatch,0,0.007,blocked
445,1001,leaked,ALLOW,allow,0,0.007,passed
446,1001,blind,DENY,binding_mismatch,0,0.007,blocked
447,1001,blind,DENY,binding_mismatch,0,0.007,blocked
448,1001,blind,DENY,binding_mismatch,0,0.007,blocked
449,1001,blind,DENY,binding_mismatch,0,0.007,blocked
450,1001,blind,DENY,binding_mismatch,0,0.007,blocked
451,1001,leaked,ALLOW,allow,0,0.007,passed
452,1001,leaked,ALLOW,allow,0,0.007,passed
453,1001,leaked,ALLOW,allow,0,0.007,passed
454,1001,leaked,ALLOW,allow,0,0.007,passed
455,1001,leaked,ALLOW,allow,0,0.007,passed
456,1001,blind,DENY,binding_mismatch,0,0.007,blocked
457,1001,blind,DENY,binding_mismatch,0,0.007,blocked
458,1001,leaked,ALLOW,allow,0,0.007,passed
459,1001,blind,DENY,binding_mismatch,0,0.007,blocked
460,1001,blind,DENY,binding_mismatch,0,0.007,blocked
461,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
462,1001,blind,DENY,binding_mismatch,0,0.007,blocked
463,1001,leaked,ALLOW,allow,0,0.007,passed
464,1001,leaked,ALLOW,allow,0,0.007,passed
465,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
466,1001,leaked,ALLOW,allow,0,0.007,passed
467,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
468,1001,leaked,ALLOW,allow,0,0.007,passed
469,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
470,1001,blind,DENY,binding_mismatch,0,0.007,blocked
471,1001,blind,DENY,binding_mismatch,0,0.007,blocked
472,1001,blind,DENY,binding_mismatch,0,0.007,blocked
473,1001,leaked,ALLOW,allow,0,0.007,passed
474,1001,leaked,ALLOW,allow,0,0.007,passed
475,1001,blind,DENY,binding_mismatch,0,0.007,blocked
476,1001,leaked,ALLOW,allow,0,0.007,passed
477,1001,blind,DENY,binding_mismatch,0,0.007,blocked
478,1001,leaked,ALLOW,allow,0,0.007,passed
479,1001,blind,DENY,binding_mismatch,0,0.007,blocked
480,1001,blind,DENY,binding_mismatch,0,0.015,blocked
481,1001,leaked,ALLOW,allow,0,0.008,passed
482,1001,leaked,ALLOW,allow,0,0.007,passed
483,1001,leaked,ALLOW,allow,0,0.007,passed
484,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
485,1001,blind,DENY,binding_mismatch,0,0.007,blocked
486,1001,blind,DENY,binding_mismatch,0,0.009,blocked
487,1001,leaked,ALLOW,allow,0,0.010,passed
488,1001,guessed,DENY,binding_mismatch,0,0.010,blocked
489,1001,leaked,ALLOW,allow,0,0.010,passed
490,1001,blind,DENY,binding_mismatch,0,0.009,blocked
491,1001,guessed,DENY,binding_mismatch,0,0.008,blocked
492,1001,blind,DENY,binding_mismatch,0,0.007,blocked
493,1001,blind,DENY,binding_mismatch,0,0.007,blocked
494,1001,leaked,ALLOW,allow,0,0.007,passed
495,1001,blind,DENY,binding_mismatch,0,0.007,blocked
496,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
497,1001,blind,DENY,binding_mismatch,0,0.007,blocked
498,1001,guessed,DENY,binding_mismatch,0,0.007,blocked
499,1001,leaked,ALLOW,allow,0,0.007,passed
