scenario_group,attack_case,mode,runs,bypass_success_rate_mean,bypass_success_rate_median,bypass_success_rate_stdev,detection_rate_mean,detection_rate_median,detection_rate_stdev,reject_latency_p95_ms_mean,reject_latency_p95_ms_median,reject_latency_p95_ms_stdev
B,denied_ticket_reuse,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,2.308667,1.934,0.923854
B,denied_ticket_reuse,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,3.778667,4.179,0.695997
B,denied_ticket_reuse,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,238.663,57.098,333.158156
B,expired_ticket_replay,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,6.813667,3.908,5.665953
B,expired_ticket_replay,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,3.973333,3.402,1.833042
B,expired_ticket_replay,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,147.101333,78.15,140.987951
B,forged_approval_ticket,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,4.184,2.473,3.361688
B,forged_approval_ticket,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,3.258667,3.555,0.782765
B,forged_approval_ticket,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,101.453667,106.718,58.379787
C,hash_mismatch,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,3.577,2.646,1.72016
C,hash_mismatch,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,2.136667,2.054,1.451766
C,hash_mismatch,userspace_tamper_metadata,3,1.0,1.0,0.0,0.0,0.0,0.0,468.939667,7.068,803.544583
C,stale_catalog_replay,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,6.135333,6.043,4.429222
C,stale_catalog_replay,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,2.579333,2.719,1.714771
C,stale_catalog_replay,userspace_tamper_metadata,3,1.0,1.0,0.0,0.0,0.0,0.0,237.371,6.692,403.304318
C,wrong_app_binding,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,2.683333,1.743,1.646056
C,wrong_app_binding,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,2.012667,2.424,0.82308
C,wrong_app_binding,userspace_tamper_metadata,3,1.0,1.0,0.0,0.0,0.0,0.0,223.161667,4.521,379.747716
D,approval_required_bypass,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,1.747,1.357,1.52
D,approval_required_bypass,userspace_compromised,3,1.0,1.0,0.0,0.0,0.0,0.0,41.817,50.369,29.221154
D,approval_required_bypass,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,0.707333,0.465,0.490649
D,invalid_session_hash_bypass,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,1.553667,1.147,1.270777
D,invalid_session_hash_bypass,userspace_compromised,3,1.0,1.0,0.0,0.0,0.0,0.0,12.464,10.64,11.12076
D,invalid_session_hash_bypass,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,0.708667,0.55,0.506977
E,toctou_hash_mismatch_after_approval,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,2.148667,2.016,1.283154
E,toctou_hash_mismatch_after_approval,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,3.36,1.998,2.840482
E,toctou_hash_mismatch_after_approval,userspace_tamper_approval,3,0.0,0.0,0.0,1.0,1.0,0.0,2.984667,2.16,1.965354
E,toctou_tool_swap_after_approval,mcpd,3,0.0,0.0,0.0,1.0,1.0,0.0,3.497,2.146,2.868916
E,toctou_tool_swap_after_approval,userspace_semantic_plane,3,0.0,0.0,0.0,1.0,1.0,0.0,1.783,2.117,0.62674
E,toctou_tool_swap_after_approval,userspace_tamper_approval,3,1.0,1.0,0.0,0.0,0.0,0.0,65.525,41.963,41.103645
E1,direct_risky_tool,direct,3,1.0,1.0,0.0,0.0,0.0,0.0,119.888333,78.653,127.819863
E1,direct_safe_tool,direct,3,1.0,1.0,0.0,0.0,0.0,0.0,3.794333,3.35,3.228514
E1,forwarder_fake_session,forwarder_only,3,0.0,0.0,0.0,1.0,1.0,0.0,0.676333,0.373,0.537559
