system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
kernel,10,50,2,4.0,2592.0,2592.0,648.0,29.698,606.84,689.16,1.0,0.0,1.0,1.0,76.993,3.724,71.832,82.154,72.017,1.645,69.736,74.297,137.762,6.422,128.862,146.662,190.319,12.901,172.438,208.199,0.103263,0.123749
kernel,10,100,2,4.0,2572.0,2572.0,643.0,63.993,554.31,731.69,1.0,0.0,1.0,1.0,155.435,15.45,134.022,176.847,148.729,14.303,128.906,168.552,295.584,33.665,248.926,342.242,369.047,52.576,296.18,441.914,0.252422,0.259605
kernel,20,1,2,4.0,2720.0,2720.0,680.0,46.315,615.81,744.19,1.0,0.0,1.0,1.0,1.464,0.1,1.326,1.603,1.147,0.091,1.02,1.273,3.111,0.122,2.941,3.28,4.792,0.18,4.543,5.041,3e-06,0.000463
kernel,20,10,2,4.0,2534.0,2534.0,633.5,27.224,595.77,671.23,1.0,0.0,1.0,1.0,15.785,0.676,14.848,16.722,14.495,0.332,14.036,14.955,26.95,2.122,24.01,29.891,56.178,1.099,54.655,57.701,0.01976,0.045735
kernel,20,50,2,4.0,2530.5,2517.5,632.625,59.574,550.06,715.19,0.995,0.0,0.995,0.995,79.142,7.662,68.524,89.761,75.361,5.482,67.763,82.958,145.893,21.937,115.489,176.297,188.491,21.437,158.781,218.201,0.233585,0.179133
kernel,20,100,2,4.0,2545.5,2545.5,636.375,8.309,624.86,647.89,1.0,0.0,1.0,1.0,156.668,2.392,153.352,159.983,151.402,0.576,150.604,152.2,293.375,0.766,292.313,294.436,338.133,19.645,310.907,365.359,0.031498,0.050414
kernel,50,1,2,4.0,2711.5,2711.5,677.875,25.633,642.35,713.4,1.0,0.0,1.0,1.0,1.466,0.055,1.39,1.542,1.156,0.059,1.074,1.238,3.105,0.081,2.993,3.217,4.816,0.251,4.468,5.163,0.0,0.0
kernel,50,10,2,4.0,2536.0,2536.0,634.0,54.447,558.54,709.46,1.0,0.0,1.0,1.0,15.809,1.358,13.927,17.692,14.576,1.228,12.874,16.279,26.31,1.625,24.058,28.562,46.96,1.522,44.851,49.069,0.183634,0.134043
kernel,50,50,2,4.0,2309.5,1228.5,577.375,65.231,486.97,667.78,0.528,0.076,0.422,0.633,86.66,9.871,72.979,100.341,82.764,11.266,67.151,98.377,158.247,19.824,130.772,185.721,206.171,6.073,197.753,214.588,0.603423,0.410792
kernel,50,100,2,4.0,2507.5,2507.5,626.875,33.764,580.08,673.67,1.0,0.0,1.0,1.0,158.8,8.34,147.241,170.36,151.753,6.846,142.265,161.241,297.63,19.836,270.139,325.121,391.243,24.793,356.882,425.604,0.227866,0.097103
