repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
1,kernel,1,100,4.0,2186,0,0.0,546.5,24.933,182.405,177.14,363.031,409.42
1,kernel,5,1,4.0,1984,0,0.0,496.0,24.604,2.004,1.628,3.895,5.954
1,kernel,5,10,4.0,2122,0,0.0,530.5,8.347,18.82,17.645,30.86,62.135
1,kernel,5,50,4.0,2272,0,0.0,568.0,17.569,87.85,84.435,156.764,200.051
1,kernel,5,100,4.0,2186,0,0.0,546.5,33.64,179.928,172.373,340.839,461.193
1,kernel,10,1,4.0,1954,0,0.0,488.5,17.137,2.036,1.635,4.112,6.512
1,kernel,10,10,4.0,2128,0,0.0,532.0,22.554,18.764,17.626,30.333,57.102
1,kernel,10,50,4.0,2327,0,0.0,581.75,20.337,86.451,81.732,151.644,197.759
1,kernel,10,100,4.0,2301,0,0.0,575.25,22.897,173.081,165.972,341.584,399.677
1,kernel,20,1,4.0,1937,0,0.0,484.25,25.941,2.055,1.625,4.069,6.525
1,kernel,20,10,4.0,2190,0,0.0,547.5,26.249,18.315,17.19,30.317,57.874
1,kernel,20,50,4.0,2286,0,0.0,571.5,19.975,87.389,82.536,155.113,197.272
1,kernel,20,100,4.0,2211,0,0.0,552.75,36.022,179.317,171.89,335.692,417.7
1,kernel,50,1,4.0,2010,0,0.0,502.5,21.315,1.98,1.612,3.851,5.798
1,kernel,50,10,4.0,2183,0,0.0,545.75,18.715,18.248,16.861,30.501,57.649
1,kernel,50,50,4.0,2022,0,0.0,505.5,44.814,98.758,92.801,179.325,236.33
1,kernel,50,100,4.0,2074,0,0.0,518.5,6.351,193.782,189.524,371.99,417.181
2,kernel,1,1,4.0,2012,0,0.0,503.0,40.784,1.978,1.577,3.8,5.922
2,kernel,1,10,4.0,2154,0,0.0,538.5,27.441,18.587,17.277,31.462,64.217
2,kernel,1,50,4.0,2191,0,0.0,547.75,39.407,91.188,84.473,166.451,238.311
2,kernel,1,100,4.0,2204,0,0.0,551.0,24.725,180.253,172.3,359.393,422.349
2,kernel,5,1,4.0,2009,0,0.0,502.25,24.703,1.979,1.582,4.029,6.117
2,kernel,5,10,4.0,2172,0,0.0,543.0,11.46,18.496,17.046,30.987,62.077
2,kernel,5,50,4.0,2253,0,0.0,563.25,40.302,88.521,83.876,162.113,202.613
2,kernel,5,100,4.0,2167,0,0.0,541.75,50.757,183.153,178.61,339.766,428.221
2,kernel,10,1,4.0,2018,0,0.0,504.5,40.567,1.958,1.593,3.81,6.06
2,kernel,10,10,4.0,2126,0,0.0,531.5,24.933,18.781,17.522,30.637,55.524
2,kernel,10,50,4.0,2209,0,0.0,552.25,24.088,90.156,84.304,162.14,215.547
2,kernel,10,100,4.0,2237,0,0.0,559.25,32.521,177.827,170.615,326.414,430.724
2,kernel,20,1,4.0,2016,0,0.0,504.0,20.017,1.971,1.582,3.997,5.811
2,kernel,20,10,4.0,2128,0,0.0,532.0,16.813,18.776,17.53,30.288,58.008
2,kernel,20,50,4.0,2247,0,0.0,561.75,33.049,86.791,82.832,159.712,203.363
2,kernel,20,100,4.0,2212,0,0.0,553.0,20.704,179.371,171.008,339.391,400.815
2,kernel,50,1,4.0,1970,0,0.0,492.5,18.43,2.022,1.624,3.862,6.673
2,kernel,50,10,4.0,2093,0,0.0,523.25,28.698,19.073,17.553,31.665,59.598
2,kernel,50,50,4.0,2119,0,0.0,529.75,10.079,93.924,89.421,174.902,220.169
2,kernel,50,100,4.0,2152,0,0.0,538.0,35.412,185.098,177.005,354.597,416.316
