repetition,system,agents,concurrency,measurement_seconds,requests,errors,error_rate,throughput_rps,throughput_std_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
2,kernel,50,50,30.0,32518,0,0.0,1083.933,7.124,46.12,46.099,49.185,51.522
2,kernel,50,100,30.0,32779,0,0.0,1092.633,10.526,91.495,91.429,96.064,102.87
2,seccomp,1,1,30.0,32649,0,0.0,1088.3,25.283,0.915,0.915,0.986,1.098
2,seccomp,1,10,30.0,31138,0,0.0,1037.933,18.274,9.63,9.513,11.343,12.888
2,seccomp,1,50,30.0,34178,0,0.0,1139.267,10.329,43.875,43.825,47.486,50.804
2,seccomp,1,100,30.0,34348,0,0.0,1144.933,9.303,87.321,87.194,92.933,166.717
2,seccomp,5,1,30.0,32658,0,0.0,1088.6,5.911,0.914,0.917,0.987,1.047
2,seccomp,5,10,30.0,31338,0,0.0,1044.6,13.495,9.568,9.46,11.252,12.436
2,seccomp,5,50,30.0,34181,0,0.0,1139.367,10.532,43.874,43.853,47.421,52.672
2,seccomp,5,100,30.0,35161,0,0.0,1172.033,53.891,85.265,85.894,92.706,158.034
2,seccomp,10,1,30.0,32393,0,0.0,1079.767,17.184,0.922,0.925,0.99,1.05
2,seccomp,10,10,30.0,32267,0,0.0,1075.567,58.808,9.293,9.106,11.31,13.645
2,seccomp,10,50,30.0,34247,0,0.0,1141.567,12.336,43.788,43.61,47.715,52.093
2,seccomp,10,100,30.0,33993,0,0.0,1133.1,47.771,88.242,87.294,97.099,165.192
2,seccomp,20,1,30.0,33392,0,0.0,1113.067,65.557,0.894,0.887,1.016,1.139
2,seccomp,20,10,30.0,32282,0,0.0,1076.067,11.679,9.288,9.18,11.032,12.291
2,seccomp,20,50,30.0,36874,0,0.0,1229.133,34.966,40.669,40.373,44.918,50.769
2,seccomp,20,100,30.0,37972,0,0.0,1265.733,31.442,78.986,78.713,84.588,148.835
2,seccomp,50,1,30.0,32165,0,0.0,1072.167,3.77,0.929,0.933,0.997,1.05
2,seccomp,50,10,30.0,30727,0,0.0,1024.233,6.452,9.758,9.672,11.451,12.563
2,seccomp,50,50,30.0,33474,0,0.0,1115.8,25.288,44.796,44.603,48.734,59.59
2,seccomp,50,100,30.0,33834,0,0.0,1127.8,20.121,88.646,88.564,93.701,164.73
2,userspace,1,1,30.0,33680,0,0.0,1122.667,2.869,0.887,0.891,0.955,1.008
2,userspace,1,10,30.0,34398,0,0.0,1146.6,5.876,8.717,8.671,10.03,10.863
2,userspace,1,50,30.0,36653,0,0.0,1221.767,16.666,40.915,40.794,43.64,74.518
2,userspace,1,100,30.0,36951,0,0.0,1231.7,12.338,81.166,81.129,85.59,156.017
2,userspace,5,1,30.0,33423,0,0.0,1114.1,7.155,0.894,0.897,0.967,1.04
2,userspace,5,10,30.0,33846,0,0.0,1128.2,23.389,8.86,8.777,10.299,11.713
