sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
709,0.008125,0.006833,-0.001292
710,0.008084,0.006791,-0.001293
711,0.007958,0.006833,-0.001125
712,0.007958,0.00675,-0.001208
713,0.007917,0.006792,-0.001125
714,0.007917,0.006792,-0.001125
715,0.007917,0.006875,-0.001042
716,0.008,0.006792,-0.001208
717,0.007958,0.006917,-0.001041
718,0.007917,0.006792,-0.001125
719,0.00775,0.006667,-0.001083
720,0.007916,0.006834,-0.001082
721,0.007833,0.006917,-0.000916
722,0.008,0.006792,-0.001208
723,0.008,0.006875,-0.001125
724,0.008,0.006958,-0.001042
725,0.018125,0.006833,-0.011292
726,0.008,0.006792,-0.001208
727,0.007875,0.006833,-0.001042
728,0.008042,0.006875,-0.001167
729,0.007916,0.00675,-0.001166
730,0.007875,0.00675,-0.001125
731,0.007875,0.00675,-0.001125
732,0.007917,0.006792,-0.001125
733,0.008,0.00675,-0.00125
734,0.007833,0.006792,-0.001041
735,0.007834,0.006875,-0.000959
736,0.008333,0.00675,-0.001583
737,0.007708,0.00675,-0.000958
738,0.007959,0.006667,-0.001292
739,0.00825,0.006709,-0.001541
740,0.007917,0.007125,-0.000792
741,0.008125,0.006834,-0.001291
742,0.007875,0.006792,-0.001083
743,0.007958,0.006834,-0.001124
744,0.007875,0.00675,-0.001125
745,0.008083,0.006792,-0.001291
746,0.007959,0.006875,-0.001084
747,0.008,0.012,0.004
748,0.007834,0.00725,-0.000584
749,0.007875,0.006917,-0.000958
750,0.008,0.007917,-8.3e-05
751,0.007833,0.006958,-0.000875
752,0.008,0.006833,-0.001167
753,0.007959,0.006917,-0.001042
754,0.007875,0.006834,-0.001041
755,0.007834,0.006792,-0.001042
756,0.007875,0.007083,-0.000792
757,0.008167,0.00675,-0.001417
758,0.008167,0.006833,-0.001334
759,0.007917,0.006916,-0.001001
760,0.008,0.006916,-0.001084
761,0.008,0.006875,-0.001125
762,0.008,0.006917,-0.001083
763,0.007959,0.006959,-0.001
764,0.008042,0.006875,-0.001167
765,0.007833,0.006875,-0.000958
766,0.007875,0.006875,-0.001
767,0.00775,0.006792,-0.000958
