sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
238,0.00825,0.006875,-0.001375
239,0.008625,0.006792,-0.001833
240,0.008292,0.006792,-0.0015
241,0.008334,0.007667,-0.000667
242,0.008458,0.006917,-0.001541
243,0.008416,0.006792,-0.001624
244,0.008541,0.007042,-0.001499
245,0.008625,0.006875,-0.00175
246,0.008292,0.006916,-0.001376
247,0.0085,0.006792,-0.001708
248,0.008208,0.006792,-0.001416
249,0.00825,0.00675,-0.0015
250,0.008334,0.006792,-0.001542
251,0.008375,0.006834,-0.001541
252,0.008375,0.006958,-0.001417
253,0.008333,0.006791,-0.001542
254,0.008209,0.00675,-0.001459
255,0.008292,0.006792,-0.0015
256,0.022875,0.006834,-0.016041
257,0.009375,0.00675,-0.002625
258,0.008459,0.006709,-0.00175
259,0.008375,0.006791,-0.001584
260,0.008375,0.007083,-0.001292
261,0.008917,0.006792,-0.002125
262,0.008292,0.006709,-0.001583
263,0.00825,0.006833,-0.001417
264,0.008334,0.006708,-0.001626
265,0.00825,0.00675,-0.0015
266,0.00825,0.006833,-0.001417
267,0.008541,0.00675,-0.001791
268,0.008375,0.00675,-0.001625
269,0.008416,0.006792,-0.001624
270,0.008541,0.006792,-0.001749
271,0.008625,0.006792,-0.001833
272,0.008792,0.006875,-0.001917
273,0.008417,0.006708,-0.001709
274,0.008333,0.006875,-0.001458
275,0.008417,0.00675,-0.001667
276,0.008375,0.006958,-0.001417
277,0.008542,0.006792,-0.00175
278,0.008334,0.006792,-0.001542
279,0.008333,0.006709,-0.001624
280,0.008208,0.006792,-0.001416
281,0.008542,0.006792,-0.00175
282,0.008292,0.006709,-0.001583
283,0.008292,0.006833,-0.001459
284,0.008292,0.006833,-0.001459
285,0.008375,0.006875,-0.0015
286,0.008209,0.006791,-0.001418
287,0.008375,0.00675,-0.001625
288,0.008417,0.006833,-0.001584
289,0.008417,0.006791,-0.001626
290,0.008459,0.006875,-0.001584
291,0.008291,0.006792,-0.001499
292,0.008291,0.006958,-0.001333
293,0.008666,0.006834,-0.001832
294,0.00825,0.006792,-0.001458
295,0.008458,0.006917,-0.001541
296,0.00825,0.006833,-0.001417
297,0.008417,0.006917,-0.0015
298,0.008333,0.006959,-0.001374
299,0.008375,0.006792,-0.001583
300,0.008292,0.00675,-0.001542
301,0.008291,0.006792,-0.001499
302,0.00825,0.006709,-0.001541
303,0.008292,0.006833,-0.001459
304,0.008417,0.006791,-0.001626
305,0.008292,0.006875,-0.001417
306,0.00825,0.006833,-0.001417
307,0.008292,0.00675,-0.001542
308,0.00825,0.007,-0.00125
309,0.008458,0.00675,-0.001708
310,0.00825,0.006958,-0.001292
311,0.0085,0.00675,-0.00175
312,0.008292,0.006792,-0.0015
313,0.008459,0.006875,-0.001584
314,0.008333,0.006875,-0.001458
315,0.008292,0.006834,-0.001458
316,0.008208,0.00675,-0.001458
317,0.008291,0.006792,-0.001499
318,0.008208,0.00675,-0.001458
319,0.008292,0.006791,-0.001501
320,0.008292,0.00675,-0.001542
321,0.008292,0.006792,-0.0015
322,0.008292,0.00675,-0.001542
323,0.008375,0.006792,-0.001583
324,0.008292,0.007,-0.001292
325,0.0085,0.006875,-0.001625
326,0.008292,0.006917,-0.001375
327,0.00825,0.016167,0.007917
328,0.008291,0.008333,4.2e-05
329,0.008417,0.007,-0.001417
330,0.008375,0.007042,-0.001333
331,0.008291,0.007042,-0.001249
332,0.008416,0.007,-0.001416
333,0.008291,0.009167,0.000876
334,0.008416,0.009459,0.001043
335,0.008416,0.009375,0.000959
336,0.008416,0.009542,0.001126
337,0.008292,0.008708,0.000416
338,0.008333,0.006959,-0.001374
339,0.008292,0.008292,0.0
340,0.008334,0.009958,0.001624
341,0.008458,0.008834,0.000376
342,0.008333,0.007333,-0.001
343,0.008334,0.007291,-0.001043
344,0.008417,0.00725,-0.001167
345,0.008208,0.00725,-0.000958
346,0.00825,0.008292,4.2e-05
347,0.008333,0.009667,0.001334
348,0.00825,0.009333,0.001083
349,0.008292,0.007792,-0.0005
350,0.008166,0.007375,-0.000791
351,0.008333,0.007458,-0.000875
352,0.008292,0.007375,-0.000917
353,0.008208,0.00775,-0.000458
354,0.008291,0.007083,-0.001208
355,0.008334,0.007,-0.001334
356,0.00825,0.007333,-0.000917
357,0.008584,0.006875,-0.001709
358,0.008167,0.006833,-0.001334
359,0.008166,0.006791,-0.001375
360,0.008334,0.006791,-0.001543
361,0.008458,0.006833,-0.001625
362,0.008334,0.006792,-0.001542
363,0.008208,0.006791,-0.001417
364,0.00825,0.006958,-0.001292
365,0.00825,0.006792,-0.001458
366,0.00825,0.006834,-0.001416
367,0.008375,0.006958,-0.001417
368,0.008208,0.007875,-0.000333
369,0.008292,0.007042,-0.00125
370,0.00825,0.006917,-0.001333
371,0.008292,0.006917,-0.001375
372,0.00825,0.007208,-0.001042
373,0.015541,0.006958,-0.008583
374,0.008666,0.006917,-0.001749
375,0.008375,0.00675,-0.001625
376,0.008333,0.006792,-0.001541
377,0.00825,0.006792,-0.001458
378,0.008375,0.006834,-0.001541
379,0.008292,0.006833,-0.001459
