system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
seccomp,spoof,A,session_token_theft,seccomp,tamper_session,error,,agent_id is bound to a different peer identity,1.38,0,1,0
seccomp,spoof,A,fake_session_id,seccomp,tamper_session,ok,ALLOW,,2.433,1,1,1
seccomp,spoof,A,expired_session,seccomp,tamper_session,ok,ALLOW,,3.143,1,1,1
seccomp,spoof,A,session_token_theft,seccomp,tamper_session,error,,agent_id is bound to a different peer identity,1.095,0,1,0
seccomp,replay,B,forged_approval_ticket,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,3.531,0,1,0
seccomp,replay,B,cross_agent_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,4.179,0,1,0
seccomp,replay,B,cross_tool_ticket_reuse,seccomp,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.811,0,1,0
seccomp,replay,B,expired_ticket_replay,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,2.139,0,1,0
seccomp,replay,B,denied_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.427,0,1,0
seccomp,replay,B,forged_approval_ticket,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,2.269,0,1,0
seccomp,replay,B,cross_agent_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.547,0,1,0
seccomp,replay,B,cross_tool_ticket_reuse,seccomp,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.528,0,1,0
seccomp,replay,B,expired_ticket_replay,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.936,0,1,0
seccomp,replay,B,denied_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.867,0,1,0
seccomp,replay,B,forged_approval_ticket,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.456,0,1,0
seccomp,replay,B,cross_agent_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.772,0,1,0
seccomp,replay,B,cross_tool_ticket_reuse,seccomp,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),4.032,0,1,0
seccomp,replay,B,expired_ticket_replay,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,2.732,0,1,0
seccomp,replay,B,denied_ticket_reuse,seccomp,tamper_approval,error,ALLOW,simple sandbox blocked host write outside repo: /home/lxh/Desktop/lxh.txt,1.666,0,1,0
