repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
12,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.934,0.894,1.123,1.48,0.005,0.005,0.299,0.738,40.361
12,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.893,9.59,10.898,12.373,0.006,0.007,3.894,6.367,60.886
12,kernel,small,100,100 B,2000,0,0.833,0.807,0.999,1.088,0.004,0.027,0.262,0.691,37.91
12,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.876,0.858,0.998,1.128,0.004,0.028,0.284,0.708,40.049
12,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.861,7.396,8.817,11.647,0.007,0.041,4.083,4.597,88.97
12,userspace,small,100,100 B,2000,0,1.119,0.844,2.025,7.225,0.006,0.006,0.393,0.913,41.026
12,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.897,0.843,1.057,1.434,0.005,0.005,0.299,0.711,41.809
12,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.879,7.541,8.982,11.215,0.006,0.005,3.893,4.327,89.958
13,userspace,small,100,100 B,2000,0,0.782,0.764,0.924,1.01,0.004,0.004,0.252,0.654,38.466
13,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.905,0.845,1.08,1.546,0.005,0.005,0.3,0.731,41.656
13,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,8.058,7.651,9.001,11.797,0.006,0.006,4.004,4.451,89.868
13,kernel,small,100,100 B,2000,0,0.876,0.833,1.054,1.337,0.005,0.029,0.275,0.725,37.898
13,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.857,0.842,0.961,1.065,0.004,0.027,0.274,0.694,39.379
13,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.534,7.181,8.492,10.073,0.006,0.038,3.943,4.411,89.212
13,seccomp,small,100,100 B,2000,0,0.859,0.812,1.015,1.224,0.004,0.005,0.275,0.694,39.211
13,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,1.092,0.895,1.17,1.926,0.096,0.006,0.332,0.871,40.418
13,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.16,9.738,11.298,13.29,0.006,0.008,3.998,6.495,60.96
14,kernel,small,100,100 B,2000,0,0.817,0.798,0.909,1.051,0.004,0.028,0.253,0.676,37.386
14,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.888,0.857,1.05,1.338,0.005,0.029,0.287,0.715,39.97
14,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.507,7.217,8.418,9.962,0.006,0.037,3.905,4.382,89.241
14,seccomp,small,100,100 B,2000,0,0.821,0.805,0.927,1.04,0.004,0.005,0.258,0.664,38.678
14,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.882,0.865,0.996,1.118,0.004,0.005,0.279,0.699,39.803
14,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.992,9.627,11.141,13.951,0.006,0.007,3.941,6.428,60.902
14,userspace,small,100,100 B,2000,0,0.979,0.799,1.089,2.137,0.005,0.005,0.318,0.825,39.999
14,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.825,0.813,0.908,1.034,0.004,0.004,0.275,0.67,40.991
14,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.96,7.64,9.092,10.92,0.006,0.006,3.906,4.356,89.728
15,seccomp,small,100,100 B,2000,0,0.861,0.822,1.046,1.281,0.005,0.005,0.27,0.692,38.826
15,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,1.004,0.868,1.009,1.321,0.004,0.005,0.298,0.732,39.636
15,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.044,9.665,11.354,14.017,0.007,0.008,3.91,6.401,60.903
15,userspace,small,100,100 B,2000,0,0.877,0.801,1.178,1.744,0.005,0.005,0.288,0.717,39.89
15,userspace,medium,10240,"10 KB (10,240 B)",2000,0,1.01,0.843,1.124,2.238,0.005,0.005,0.358,0.827,41.762
15,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.827,7.522,8.865,10.711,0.006,0.006,3.939,4.385,89.785
15,kernel,small,100,100 B,2000,0,0.886,0.845,1.097,1.5,0.005,0.03,0.284,0.725,38.937
15,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.91,0.88,1.08,1.303,0.005,0.029,0.298,0.731,40.607
15,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.248,7.116,8.033,8.973,0.006,0.036,3.75,4.203,89.22
16,userspace,small,100,100 B,2000,0,0.826,0.781,0.987,1.041,0.004,0.004,0.269,0.69,39.026
16,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.847,0.81,1.025,1.084,0.004,0.004,0.282,0.689,40.857
16,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.544,7.428,8.292,8.986,0.005,0.005,3.763,4.176,90.112
16,seccomp,small,100,100 B,2000,0,0.858,0.826,1.03,1.112,0.005,0.005,0.269,0.691,38.932
16,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.896,0.871,1.06,1.14,0.004,0.005,0.282,0.709,39.757
16,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.599,9.486,10.418,11.135,0.005,0.007,3.744,6.165,60.716
16,kernel,small,100,100 B,2000,0,0.894,0.865,1.068,1.176,0.005,0.03,0.281,0.74,37.963
16,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.875,0.848,1.033,1.142,0.004,0.028,0.282,0.708,39.707
16,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.906,7.487,9.605,14.725,0.007,0.044,4.089,4.61,88.943
17,kernel,small,100,100 B,2000,0,0.832,0.803,1.005,1.082,0.004,0.028,0.26,0.69,37.594
17,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.872,0.849,1.016,1.11,0.004,0.028,0.281,0.705,39.8
17,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.952,7.351,9.071,18.22,0.006,0.041,4.168,4.668,89.12
17,userspace,small,100,100 B,2000,0,0.827,0.782,1.008,1.428,0.005,0.004,0.268,0.689,38.917
17,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.854,0.819,0.968,1.607,0.004,0.004,0.285,0.694,41.144
17,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.838,7.53,8.772,12.696,0.006,0.006,3.906,4.348,89.832
17,seccomp,small,100,100 B,2000,0,0.84,0.806,1.013,1.057,0.004,0.005,0.262,0.679,38.637
17,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.881,0.86,1.021,1.121,0.004,0.005,0.278,0.698,39.781
17,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.609,9.478,10.447,11.255,0.006,0.007,3.754,6.175,60.767
18,seccomp,small,100,100 B,2000,0,0.838,0.804,1.008,1.059,0.004,0.005,0.259,0.677,38.262
18,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.873,0.859,0.964,1.087,0.004,0.005,0.274,0.691,39.666
18,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.5,9.381,10.225,10.956,0.005,0.006,3.693,6.112,60.467
18,userspace,small,100,100 B,2000,0,0.814,0.773,0.981,1.062,0.005,0.004,0.263,0.679,38.664
18,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.825,0.809,0.934,1.049,0.004,0.004,0.274,0.671,40.816
18,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.399,7.281,8.095,8.736,0.005,0.005,3.684,4.098,89.891
18,kernel,small,100,100 B,2000,0,0.813,0.793,0.947,1.032,0.004,0.027,0.251,0.674,37.199
18,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.867,0.847,0.991,1.124,0.004,0.028,0.278,0.7,39.59
18,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.205,7.067,7.879,8.831,0.005,0.035,3.746,4.189,89.405
19,userspace,small,100,100 B,2000,0,0.794,0.766,0.961,1.03,0.004,0.004,0.259,0.663,39.102
19,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.824,0.805,0.961,1.045,0.004,0.004,0.275,0.669,41.043
19,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.556,7.423,8.25,8.895,0.005,0.005,3.763,4.174,90.14
19,seccomp,small,100,100 B,2000,0,0.84,0.81,1.01,1.071,0.005,0.005,0.264,0.678,38.857
19,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.876,0.862,0.965,1.057,0.004,0.005,0.274,0.694,39.468
19,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.419,9.3,10.159,10.758,0.006,0.006,3.68,6.054,60.764
19,kernel,small,100,100 B,2000,0,0.834,0.801,1.01,1.082,0.004,0.028,0.26,0.692,37.563
19,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.873,0.845,1.044,1.131,0.004,0.028,0.282,0.706,39.909
19,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.207,7.082,7.87,8.591,0.005,0.035,3.742,4.187,89.369
20,kernel,small,100,100 B,2000,0,0.849,0.808,1.02,1.083,0.004,0.028,0.264,0.704,37.51
20,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.862,0.845,0.961,1.152,0.004,0.027,0.277,0.696,39.766
20,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.227,7.107,7.943,8.581,0.005,0.035,3.75,4.196,89.378
20,userspace,small,100,100 B,2000,0,0.808,0.772,0.974,1.02,0.004,0.004,0.261,0.675,38.747
20,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.844,0.811,1.011,1.068,0.004,0.004,0.28,0.686,40.753
