mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
userspace_semantic_plane,allow,23,ok,ALLOW,3.191,0.007,2.826
userspace_semantic_plane,allow,24,ok,ALLOW,1.382,0.007,1.168
userspace_semantic_plane,allow,25,ok,ALLOW,1.985,0.006,1.704
userspace_semantic_plane,allow,26,ok,ALLOW,3.727,0.007,1.918
userspace_semantic_plane,allow,27,ok,ALLOW,3.288,0.008,2.373
userspace_semantic_plane,allow,28,ok,ALLOW,3.643,0.007,3.443
userspace_semantic_plane,allow,29,ok,ALLOW,2.97,0.011,2.266
userspace_semantic_plane,allow,30,ok,ALLOW,6.237,0.015,5.563
userspace_semantic_plane,allow,31,ok,ALLOW,3.796,0.007,2.996
userspace_semantic_plane,allow,32,ok,ALLOW,2.472,0.007,2.128
userspace_semantic_plane,allow,33,ok,ALLOW,2.978,0.007,2.026
userspace_semantic_plane,allow,34,ok,ALLOW,4.27,0.007,3.5
userspace_semantic_plane,allow,35,ok,ALLOW,5.506,0.007,4.745
userspace_semantic_plane,allow,36,ok,ALLOW,3.211,0.026,2.735
userspace_semantic_plane,allow,37,ok,ALLOW,1.513,0.006,1.076
userspace_semantic_plane,allow,38,ok,ALLOW,3.61,0.007,2.515
userspace_semantic_plane,allow,39,ok,ALLOW,1.852,0.007,1.543
userspace_semantic_plane,deny,0,error,DENY,1.141,0.008,0.65
userspace_semantic_plane,deny,1,error,DENY,0.736,0.007,0.484
userspace_semantic_plane,deny,2,error,DENY,1.059,0.006,0.681
userspace_semantic_plane,deny,3,error,DENY,1.313,0.059,1.032
userspace_semantic_plane,deny,4,error,DENY,1.508,0.009,0.95
userspace_semantic_plane,deny,5,error,DENY,1.403,0.007,1.035
userspace_semantic_plane,deny,6,error,DENY,1.309,0.007,0.856
userspace_semantic_plane,deny,7,error,DENY,1.243,0.006,0.925
userspace_semantic_plane,deny,8,error,DENY,0.952,0.006,0.703
userspace_semantic_plane,deny,9,error,DENY,3.214,0.007,1.604
userspace_semantic_plane,deny,10,error,DENY,0.698,0.006,0.488
userspace_semantic_plane,deny,11,error,DENY,0.993,0.007,0.648
userspace_semantic_plane,deny,12,error,DENY,1.221,0.014,0.833
userspace_semantic_plane,deny,13,error,DENY,0.674,0.006,0.444
userspace_semantic_plane,deny,14,error,DENY,0.897,0.006,0.489
userspace_semantic_plane,deny,15,error,DENY,2.559,0.029,1.615
userspace_semantic_plane,deny,16,error,DENY,1.055,0.008,0.697
userspace_semantic_plane,deny,17,error,DENY,1.212,0.008,0.686
userspace_semantic_plane,deny,18,error,DENY,1.101,0.007,0.663
userspace_semantic_plane,deny,19,error,DENY,2.14,0.007,1.114
userspace_semantic_plane,deny,20,error,DENY,1.428,0.006,0.554
userspace_semantic_plane,deny,21,error,DENY,0.616,0.006,0.471
userspace_semantic_plane,deny,22,error,DENY,1.21,0.007,0.95
userspace_semantic_plane,deny,23,error,DENY,1.625,0.008,1.236
userspace_semantic_plane,deny,24,error,DENY,1.587,0.006,1.068
userspace_semantic_plane,deny,25,error,DENY,0.916,0.022,0.587
userspace_semantic_plane,deny,26,error,DENY,0.743,0.01,0.495
userspace_semantic_plane,deny,27,error,DENY,3.239,0.061,2.396
userspace_semantic_plane,deny,28,error,DENY,1.451,0.008,0.944
userspace_semantic_plane,deny,29,error,DENY,1.177,0.006,0.783
userspace_semantic_plane,deny,30,error,DENY,1.12,0.006,0.905
userspace_semantic_plane,deny,31,error,DENY,1.838,0.007,1.01
userspace_semantic_plane,deny,32,error,DENY,1.082,0.006,0.876
userspace_semantic_plane,deny,33,error,DENY,0.841,0.007,0.637
userspace_semantic_plane,deny,34,error,DENY,0.97,0.006,0.529
userspace_semantic_plane,deny,35,error,DENY,1.202,0.007,0.848
userspace_semantic_plane,deny,36,error,DENY,1.23,0.016,0.945
userspace_semantic_plane,deny,37,error,DENY,0.74,0.006,0.518
userspace_semantic_plane,deny,38,error,DENY,1.014,0.006,0.793
userspace_semantic_plane,deny,39,error,DENY,0.874,0.006,0.694
